[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[2/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[3/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[4/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[5/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[6/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[7/10000]: param_kd=02, param_n=01, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[8/10000]: param_kd=01, param_n=02, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[9/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[10/10000]: param_kd=03, param_n=02, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[11/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[12/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[13/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[14/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[15/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[16/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[17/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.100 -> accuracy=1.0
[18/10000]: param_kd=01, param_n=07, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[19/10000]: param_kd=03, param_n=04, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[20/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[21/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[22/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[23/10000]: param_kd=01, param_n=08, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[24/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[25/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[26/10000]: param_kd=03, param_n=02, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[27/10000]: param_kd=01, param_n=02, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[28/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[29/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[30/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[31/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[32/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[33/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[34/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[35/10000]: param_kd=03, param_n=04, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[36/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[37/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[38/10000]: param_kd=01, param_n=07, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[39/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[40/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[41/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[42/10000]: param_kd=02, param_n=09, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[43/10000]: param_kd=01, param_n=10, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[44/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[45/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[46/10000]: param_kd=01, param_n=02, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[47/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[48/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[49/10000]: param_kd=02, param_n=08, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[50/10000]: param_kd=01, param_n=08, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[51/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[52/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[53/10000]: param_kd=03, param_n=04, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[54/10000]: param_kd=02, param_n=05, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[55/10000]: param_kd=02, param_n=06, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[56/10000]: param_kd=03, param_n=01, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[57/10000]: param_kd=01, param_n=04, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[58/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[59/10000]: param_kd=01, param_n=07, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[60/10000]: param_kd=02, param_n=02, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[61/10000]: param_kd=01, param_n=02, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[62/10000]: param_kd=01, param_n=05, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[63/10000]: param_kd=03, param_n=03, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[64/10000]: param_kd=02, param_n=03, param_alpha=06, param_delta=0.900 -> accuracy=0.4
