[iter=2] [PID=21648] [time=54.5s]: param_kd=2, param_n=3, param_alpha=14, param_delta=0.0736842105263158 -> accuracy=0.421875
[iter=3] [PID=21648] [time=38.4s]: param_kd=10, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.6015625
[iter=4] [PID=21648] [time=42.7s]: param_kd=5, param_n=2, param_alpha=10, param_delta=0.42894736842105263 -> accuracy=0.12109375
[iter=5] [PID=21648] [time=57.5s]: param_kd=6, param_n=3, param_alpha=12, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=6] [PID=21648] [time=59.1s]: param_kd=9, param_n=3, param_alpha=18, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=7] [PID=21648] [time=67.6s]: param_kd=2, param_n=3, param_alpha=9, param_delta=0.14473684210526316 -> accuracy=0.69921875
[iter=8] [PID=21648] [time=79.1s]: param_kd=4, param_n=3, param_alpha=17, param_delta=0.14473684210526316 -> accuracy=0.69921875
[iter=9] [PID=21648] [time=57.4s]: param_kd=5, param_n=3, param_alpha=7, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=10] [PID=21648] [time=61.0s]: param_kd=5, param_n=3, param_alpha=16, param_delta=0.14473684210526316 -> accuracy=0.71875
[iter=11] [PID=21648] [time=63.2s]: param_kd=9, param_n=3, param_alpha=8, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=12] [PID=21648] [time=42.6s]: param_kd=9, param_n=2, param_alpha=8, param_delta=0.12105263157894737 -> accuracy=0.64453125
[iter=13] [PID=21648] [time=41.6s]: param_kd=2, param_n=2, param_alpha=5, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=14] [PID=21648] [time=24.7s]: param_kd=5, param_n=2, param_alpha=10, param_delta=0.05 -> accuracy=0.3359375
[iter=15] [PID=21648] [time=44.5s]: param_kd=3, param_n=2, param_alpha=6, param_delta=0.3815789473684211 -> accuracy=0.12109375
[iter=16] [PID=21648] [time=102.1s]: param_kd=4, param_n=3, param_alpha=7, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=17] [PID=21648] [time=110.2s]: param_kd=6, param_n=3, param_alpha=14, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=18] [PID=21648] [time=55.1s]: param_kd=6, param_n=2, param_alpha=8, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=19] [PID=21648] [time=62.5s]: param_kd=3, param_n=3, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.734375
[iter=20] [PID=21648] [time=85.2s]: param_kd=5, param_n=3, param_alpha=12, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=21] [PID=21648] [time=43.3s]: param_kd=10, param_n=2, param_alpha=13, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=22] [PID=21648] [time=49.7s]: param_kd=6, param_n=2, param_alpha=10, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=23] [PID=21648] [time=53.7s]: param_kd=10, param_n=2, param_alpha=15, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=24] [PID=21648] [time=42.8s]: param_kd=10, param_n=2, param_alpha=15, param_delta=0.19210526315789472 -> accuracy=0.609375
[iter=25] [PID=21648] [time=23.2s]: param_kd=5, param_n=2, param_alpha=16, param_delta=0.05 -> accuracy=0.30078125
[iter=26] [PID=21648] [time=42.6s]: param_kd=5, param_n=2, param_alpha=15, param_delta=0.2631578947368421 -> accuracy=0.6484375
[iter=27] [PID=21648] [time=48.3s]: param_kd=9, param_n=2, param_alpha=9, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=28] [PID=21648] [time=42.5s]: param_kd=5, param_n=2, param_alpha=11, param_delta=0.21578947368421053 -> accuracy=0.6484375
[iter=29] [PID=21648] [time=49.2s]: param_kd=7, param_n=3, param_alpha=9, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=30] [PID=21648] [time=53.2s]: param_kd=6, param_n=3, param_alpha=6, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=31] [PID=21648] [time=46.7s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.42894736842105263 -> accuracy=0.12109375
[iter=32] [PID=21648] [time=44.3s]: param_kd=5, param_n=2, param_alpha=14, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=33] [PID=21648] [time=40.9s]: param_kd=6, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.625
[iter=34] [PID=21648] [time=42.0s]: param_kd=7, param_n=2, param_alpha=10, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=35] [PID=21648] [time=83.4s]: param_kd=7, param_n=3, param_alpha=13, param_delta=0.14473684210526316 -> accuracy=0.73828125
[iter=36] [PID=21648] [time=103.4s]: param_kd=5, param_n=3, param_alpha=14, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=37] [PID=21648] [time=67.3s]: param_kd=2, param_n=3, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.6484375
[iter=38] [PID=21648] [time=42.1s]: param_kd=5, param_n=3, param_alpha=16, param_delta=0.0736842105263158 -> accuracy=0.4609375
[iter=39] [PID=21648] [time=48.5s]: param_kd=3, param_n=2, param_alpha=13, param_delta=0.21578947368421053 -> accuracy=0.6484375
[iter=40] [PID=21648] [time=61.6s]: param_kd=6, param_n=3, param_alpha=19, param_delta=0.14473684210526316 -> accuracy=0.71875
[iter=41] [PID=21648] [time=64.9s]: param_kd=9, param_n=3, param_alpha=8, param_delta=0.21578947368421053 -> accuracy=0.12109375
[iter=42] [PID=21648] [time=39.3s]: param_kd=9, param_n=2, param_alpha=11, param_delta=0.12105263157894737 -> accuracy=0.59765625
[iter=43] [PID=21648] [time=46.0s]: param_kd=2, param_n=2, param_alpha=6, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=44] [PID=21648] [time=24.0s]: param_kd=7, param_n=2, param_alpha=10, param_delta=0.05 -> accuracy=0.36328125
[iter=45] [PID=21648] [time=44.4s]: param_kd=3, param_n=2, param_alpha=6, param_delta=0.3815789473684211 -> accuracy=0.12109375
[iter=46] [PID=21648] [time=45.5s]: param_kd=6, param_n=3, param_alpha=7, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=47] [PID=21648] [time=131.3s]: param_kd=6, param_n=3, param_alpha=17, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=48] [PID=21648] [time=50.0s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.640625
[iter=49] [PID=21648] [time=58.2s]: param_kd=3, param_n=3, param_alpha=13, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=50] [PID=21648] [time=50.1s]: param_kd=5, param_n=3, param_alpha=9, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=51] [PID=21648] [time=40.4s]: param_kd=6, param_n=2, param_alpha=8, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=52] [PID=21648] [time=41.3s]: param_kd=6, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=53] [PID=21648] [time=43.4s]: param_kd=9, param_n=2, param_alpha=15, param_delta=0.2868421052631579 -> accuracy=0.64453125
[iter=54] [PID=21648] [time=42.0s]: param_kd=9, param_n=2, param_alpha=14, param_delta=0.19210526315789472 -> accuracy=0.65625
[iter=55] [PID=21648] [time=29.0s]: param_kd=8, param_n=2, param_alpha=20, param_delta=0.05 -> accuracy=0.3125
[iter=56] [PID=21648] [time=45.2s]: param_kd=5, param_n=2, param_alpha=15, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=57] [PID=21648] [time=34.4s]: param_kd=7, param_n=2, param_alpha=14, param_delta=0.0736842105263158 -> accuracy=0.42578125
[iter=58] [PID=21648] [time=43.3s]: param_kd=5, param_n=2, param_alpha=13, param_delta=0.21578947368421053 -> accuracy=0.6484375
[iter=59] [PID=21648] [time=105.9s]: param_kd=6, param_n=3, param_alpha=9, param_delta=0.2631578947368421 -> accuracy=0.12109375
[iter=60] [PID=21648] [time=108.3s]: param_kd=6, param_n=3, param_alpha=6, param_delta=0.19210526315789472 -> accuracy=0.12109375
[iter=61] [PID=21648] [time=45.0s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.35789473684210527 -> accuracy=0.12109375
[iter=62] [PID=21648] [time=44.3s]: param_kd=5, param_n=2, param_alpha=14, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=63] [PID=21648] [time=39.7s]: param_kd=6, param_n=2, param_alpha=9, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=64] [PID=21648] [time=40.6s]: param_kd=5, param_n=2, param_alpha=5, param_delta=0.2631578947368421 -> accuracy=0.12109375
[iter=65] [PID=21648] [time=68.8s]: param_kd=8, param_n=3, param_alpha=12, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=66] [PID=21648] [time=123.3s]: param_kd=4, param_n=3, param_alpha=20, param_delta=0.45263157894736844 -> accuracy=0.12109375
[iter=67] [PID=21648] [time=71.3s]: param_kd=4, param_n=3, param_alpha=14, param_delta=0.14473684210526316 -> accuracy=0.71484375
[iter=68] [PID=21648] [time=69.0s]: param_kd=3, param_n=3, param_alpha=17, param_delta=0.21578947368421053 -> accuracy=0.7421875
[iter=69] [PID=21648] [time=48.2s]: param_kd=3, param_n=2, param_alpha=13, param_delta=0.21578947368421053 -> accuracy=0.6484375
[iter=70] [PID=21648] [time=62.2s]: param_kd=6, param_n=3, param_alpha=20, param_delta=0.14473684210526316 -> accuracy=0.71875
[iter=71] [PID=21648] [time=51.8s]: param_kd=9, param_n=3, param_alpha=16, param_delta=0.09736842105263158 -> accuracy=0.6328125
[iter=72] [PID=21648] [time=39.6s]: param_kd=5, param_n=2, param_alpha=5, param_delta=0.12105263157894737 -> accuracy=0.12109375
[iter=73] [PID=21648] [time=46.9s]: param_kd=2, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.62890625
[iter=74] [PID=21648] [time=34.5s]: param_kd=7, param_n=2, param_alpha=10, param_delta=0.0736842105263158 -> accuracy=0.44921875
[iter=75] [PID=21648] [time=40.5s]: param_kd=4, param_n=2, param_alpha=9, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=76] [PID=21648] [time=59.8s]: param_kd=6, param_n=3, param_alpha=7, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=77] [PID=21648] [time=43.3s]: param_kd=6, param_n=2, param_alpha=20, param_delta=0.3105263157894737 -> accuracy=0.6484375
[iter=78] [PID=21648] [time=35.6s]: param_kd=4, param_n=2, param_alpha=16, param_delta=0.0736842105263158 -> accuracy=0.41015625
[iter=79] [PID=21648] [time=61.0s]: param_kd=4, param_n=3, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=80] [PID=21648] [time=59.7s]: param_kd=5, param_n=3, param_alpha=9, param_delta=0.21578947368421053 -> accuracy=0.12109375
[iter=81] [PID=21648] [time=43.1s]: param_kd=6, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=82] [PID=21648] [time=51.0s]: param_kd=3, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=83] [PID=21648] [time=29.9s]: param_kd=8, param_n=2, param_alpha=15, param_delta=0.05 -> accuracy=0.33203125
[iter=84] [PID=21648] [time=43.1s]: param_kd=7, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=85] [PID=21648] [time=23.3s]: param_kd=5, param_n=2, param_alpha=14, param_delta=0.05 -> accuracy=0.3125
[iter=86] [PID=21648] [time=45.1s]: param_kd=5, param_n=2, param_alpha=15, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=87] [PID=21648] [time=48.0s]: param_kd=9, param_n=3, param_alpha=14, param_delta=0.09736842105263158 -> accuracy=0.65234375
[iter=88] [PID=21648] [time=44.0s]: param_kd=5, param_n=2, param_alpha=13, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=89] [PID=21648] [time=125.1s]: param_kd=6, param_n=3, param_alpha=11, param_delta=0.23947368421052634 -> accuracy=0.12109375
[iter=90] [PID=21648] [time=59.7s]: param_kd=6, param_n=3, param_alpha=14, param_delta=0.19210526315789472 -> accuracy=0.7421875
[iter=91] [PID=21648] [time=46.4s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=92] [PID=21648] [time=42.9s]: param_kd=6, param_n=2, param_alpha=10, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=93] [PID=21648] [time=40.4s]: param_kd=5, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.61328125
[iter=94] [PID=21648] [time=41.0s]: param_kd=7, param_n=2, param_alpha=9, param_delta=0.2631578947368421 -> accuracy=0.12109375
[iter=95] [PID=21648] [time=54.6s]: param_kd=8, param_n=3, param_alpha=10, param_delta=0.09736842105263158 -> accuracy=0.6796875
[iter=96] [PID=21648] [time=62.0s]: param_kd=2, param_n=3, param_alpha=20, param_delta=0.2868421052631579 -> accuracy=0.7421875
[iter=97] [PID=21648] [time=56.6s]: param_kd=2, param_n=3, param_alpha=20, param_delta=0.12105263157894737 -> accuracy=0.5859375
[iter=98] [PID=21648] [time=82.9s]: param_kd=3, param_n=3, param_alpha=13, param_delta=0.21578947368421053 -> accuracy=0.7421875
[iter=99] [PID=21648] [time=43.7s]: param_kd=5, param_n=2, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=100] [PID=21648] [time=46.5s]: param_kd=10, param_n=3, param_alpha=20, param_delta=0.05 -> accuracy=0.35546875
[iter=101] [PID=21648] [time=48.5s]: param_kd=7, param_n=3, param_alpha=18, param_delta=0.09736842105263158 -> accuracy=0.58984375
[iter=102] [PID=21648] [time=44.8s]: param_kd=8, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.64453125
[iter=103] [PID=21648] [time=46.9s]: param_kd=2, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.62890625
[iter=104] [PID=21648] [time=42.0s]: param_kd=4, param_n=2, param_alpha=5, param_delta=0.19210526315789472 -> accuracy=0.12109375
[iter=105] [PID=21648] [time=41.4s]: param_kd=4, param_n=2, param_alpha=11, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=106] [PID=21648] [time=103.1s]: param_kd=5, param_n=3, param_alpha=11, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=107] [PID=21648] [time=43.3s]: param_kd=6, param_n=2, param_alpha=20, param_delta=0.3105263157894737 -> accuracy=0.6484375
[iter=108] [PID=21648] [time=49.9s]: param_kd=2, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.640625
[iter=109] [PID=21648] [time=69.6s]: param_kd=6, param_n=3, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=110] [PID=21648] [time=63.8s]: param_kd=5, param_n=3, param_alpha=9, param_delta=0.19210526315789472 -> accuracy=0.12109375
[iter=111] [PID=21648] [time=41.6s]: param_kd=6, param_n=2, param_alpha=11, param_delta=0.21578947368421053 -> accuracy=0.64453125
[iter=112] [PID=21648] [time=50.9s]: param_kd=3, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
